,Major,Degree Type,Early Career Pay,Mid Career Pay,High Meaning
389,Geographic Information Systems (GIS),Bachelors,"$50,000","$85,100",52%
390,Business Management,Bachelors,"$51,700","$85,000",51%
391,Linguistics,Bachelors,"$52,100","$84,900",43%
392,French Language,Bachelors,"$49,600","$84,800",47%
393,Communication,Bachelors,"$48,000","$84,700",45%
394,Neuroscience,Bachelors,"$51,800","$84,700",58%
395,Business Management & Human Resources Management (HRM),Bachelors,"$46,800","$84,600",57%
396,Journalism & Mass Communication,Bachelors,"$46,300","$84,600",44%
397,Accounting & Management,Bachelors,"$55,500","$84,500",52%
398,Sociology & Organizational Studies,Bachelors,"$53,500","$84,300",57%
399,Crop Science,Bachelors,"$48,700","$84,200",60%
400,French Studies,Bachelors,"$52,400","$84,200",57%
401,Writing,Bachelors,"$44,200","$84,200",42%
402,Nursing,Bachelors,"$65,000","$84,200",83%
403,History,Bachelors,"$47,800","$84,100",46%
404,Biology,Bachelors,"$47,100","$84,000",65%
405,Land Surveying,Bachelors,"$51,900","$84,000",54%
406,Architectural Technology,Bachelors,"$46,700","$83,900",61%
407,Health Care,Bachelors,"$44,400","$83,900",74%
408,Integrated Marketing Communications,Bachelors,"$47,000","$83,900",36%
409,Agriculture,Bachelors,"$47,700","$83,800",61%
410,Digital Design,Bachelors,"$50,000","$83,600",40%
411,Marketing & Advertising,Bachelors,"$49,300","$83,600",44%
412,Organizational Communication,Bachelors,"$46,400","$83,600",49%
413,Visual Effects & Motion Graphics,Bachelors,"$48,100","$83,400",38%
414,Public Relations & Communication,Bachelors,"$45,700","$83,300",47%
415,General & Strategic Management,Bachelors,"$51,200","$83,300",55%
416,Foreign Languages,Bachelors,"$48,400","$83,100",52%
417,Retail Merchandising,Bachelors,"$50,900","$83,100",31%
418,Agribusiness Management,Bachelors,"$47,700","$83,000",46%
419,Global Business,Bachelors,"$55,800","$83,000",31%
420,Professional & Technical Writing,Bachelors,"$48,500","$83,000",44%
421,Computer Art,Bachelors,"$40,400","$82,900",31%
422,Environmental Management,Bachelors,"$50,200","$82,900",62%
423,Environmental Studies,Bachelors,"$48,500","$82,900",59%
424,Journalism,Bachelors,"$45,900","$82,900",44%
425,Travel Industry Management,Bachelors,"$52,600","$82,900",-
426,International Development Studies,Bachelors,"$47,700","$82,800",64%
427,Natural Sciences,Bachelors,"$45,100","$82,800",55%
428,Retail & Consumer Science,Bachelors,"$51,800","$82,800",32%
429,Literature,Bachelors,"$46,800","$82,800",47%
430,Bachelor in Science Nursing,Bachelors,"$64,000","$82,700",81%
431,History & Political Science,Bachelors,"$50,600","$82,700",50%
432,Museum Studies,Bachelors,"$38,900","$82,700",50%
433,Computer Information Management,Bachelors,"$49,400","$82,600",-
434,Dental Hygiene,Bachelors,"$72,700","$82,600",80%
435,Law,Bachelors,"$54,300","$82,600",53%
436,Network Technology,Bachelors,"$59,800","$82,600",57%
437,Media Studies,Bachelors,"$50,700","$82,400",38%
438,Environmental Geography,Bachelors,"$50,200","$82,300",52%
439,Law Enforcement,Bachelors,"$46,700","$82,200",60%
440,Nuclear Medicine,Bachelors,"$60,300","$81,900",81%
441,Bachelor of Science in Nursing,Bachelors,"$63,800","$81,900",83%
442,Computer Animation,Bachelors,"$46,800","$81,800",36%
